unit_id,cycle,action_type,failure_type,cost_usd,downtime_hours,was_planned,technician_id
15,169,part_replacement,bearing_fault,10484.95,21.2,False,TECH-012
15,179,lubrication,none,423.92,0.9,True,TECH-015
15,207,full_overhaul,bearing_fault,14426.08,12.1,False,TECH-001
16,11,calibration,none,972.84,3.5,True,TECH-008
16,11,calibration,none,2234.08,3.7,True,TECH-002
16,204,lubrication,none,621.24,1.7,True,TECH-012
16,209,full_overhaul,bearing_fault,19916.59,22.3,False,TECH-013
17,64,lubrication,none,463.75,1.1,True,TECH-006
17,91,calibration,none,1909.4,3.4,True,TECH-013
17,147,inspection,none,1234.89,1.4,True,TECH-005
17,176,inspection,none,977.88,1.8,True,TECH-003
17,189,calibration,none,2357.79,2.4,True,TECH-015
17,276,full_overhaul,bearing_fault,13814.64,16.4,False,TECH-004
18,19,lubrication,none,767.97,0.7,True,TECH-002
18,184,full_overhaul,overheating,14242.49,6.1,False,TECH-002
18,187,lubrication,none,691.31,1.7,True,TECH-009
18,195,full_overhaul,bearing_fault,15773.8,20.8,False,TECH-007
19,25,inspection,none,1436.13,1.9,True,TECH-012
19,95,lubrication,none,359.87,0.7,True,TECH-011
19,104,inspection,none,1274.32,2.3,True,TECH-011
19,115,lubrication,none,768.07,1.7,True,TECH-010
19,142,lubrication,none,435.27,1.0,True,TECH-008
19,158,full_overhaul,bearing_fault,16294.18,28.0,False,TECH-014
20,29,lubrication,none,643.05,0.5,True,TECH-002
20,67,calibration,none,980.91,4.0,True,TECH-001
20,152,full_overhaul,vibration_imbal,14816.56,8.0,False,TECH-010
20,181,part_replacement,vibration_imbal,10723.25,6.1,False,TECH-003
20,193,lubrication,none,529.27,1.2,True,TECH-001
20,214,inspection,none,610.59,3.0,True,TECH-001
20,234,full_overhaul,blade_erosion,24980.84,46.4,False,TECH-009
21,8,calibration,none,1012.37,2.5,True,TECH-009
21,53,inspection,none,1480.2,2.2,True,TECH-008
21,123,calibration,none,1063.86,3.2,True,TECH-001
21,156,inspection,none,1272.11,2.4,True,TECH-013
21,195,full_overhaul,sensor_drift,11444.76,8.3,False,TECH-011
22,35,inspection,none,683.53,3.0,True,TECH-009
22,61,calibration,none,1989.62,2.9,True,TECH-007
22,158,lubrication,none,586.21,0.7,True,TECH-004
22,202,full_overhaul,overheating,16713.9,22.0,False,TECH-003
23,80,full_overhaul,bearing_fault,13179.98,14.8,False,TECH-015
23,103,calibration,none,1494.93,1.7,True,TECH-007
23,168,full_overhaul,bearing_fault,12242.03,26.1,False,TECH-009
24,62,inspection,none,1072.46,2.1,True,TECH-004
24,103,lubrication,none,458.11,1.7,True,TECH-010
24,147,full_overhaul,blade_erosion,65123.55,24.7,False,TECH-008
25,13,lubrication,none,386.5,1.0,True,TECH-006
25,28,lubrication,none,779.21,2.0,True,TECH-007
25,72,calibration,none,1999.19,2.2,True,TECH-014
25,171,part_replacement,vibration_imbal,17445.23,8.2,False,TECH-004
25,192,inspection,none,572.06,2.7,True,TECH-002
25,211,calibration,none,2159.78,1.9,True,TECH-008
25,230,full_overhaul,bearing_fault,26976.49,21.5,False,TECH-013
26,199,full_overhaul,bearing_fault,23049.05,17.4,False,TECH-005
27,26,lubrication,none,794.57,1.3,True,TECH-004
27,154,part_replacement,blade_erosion,17801.72,30.1,False,TECH-013
27,156,full_overhaul,vibration_imbal,21832.75,24.5,False,TECH-003
28,30,calibration,none,1195.85,1.9,True,TECH-001
28,81,calibration,none,943.0,1.7,True,TECH-008
28,165,full_overhaul,overheating,8251.51,21.9,False,TECH-011
29,32,part_replacement,sensor_drift,3845.21,5.6,False,TECH-009
29,60,calibration,none,2235.61,2.4,True,TECH-006
29,65,lubrication,none,388.75,1.0,True,TECH-010
29,125,lubrication,none,754.78,1.4,True,TECH-008
29,138,lubrication,none,565.71,0.7,True,TECH-008
29,163,full_overhaul,overheating,25706.8,16.5,False,TECH-012
30,67,inspection,none,1277.34,2.0,True,TECH-001
30,147,inspection,none,1220.7,2.9,True,TECH-010
30,168,part_replacement,overheating,13296.56,11.8,False,TECH-012
30,188,inspection,none,1233.75,2.5,True,TECH-005
30,191,inspection,none,911.58,2.6,True,TECH-015
30,194,full_overhaul,sensor_drift,4612.37,3.7,False,TECH-012
31,87,part_replacement,bearing_fault,20125.39,20.4,False,TECH-001
31,173,calibration,none,883.24,1.7,True,TECH-002
31,199,calibration,none,1474.8,1.8,True,TECH-009
31,200,part_replacement,blade_erosion,16036.26,21.6,False,TECH-010
31,209,inspection,none,1352.78,1.7,True,TECH-004
31,234,full_overhaul,bearing_fault,27509.95,21.4,False,TECH-011
32,65,lubrication,none,799.37,0.9,True,TECH-013
32,78,inspection,none,1497.58,2.4,True,TECH-009
32,191,full_overhaul,bearing_fault,34777.84,15.4,False,TECH-001
33,73,full_overhaul,bearing_fault,15705.76,18.2,False,TECH-014
33,84,lubrication,none,675.98,1.3,True,TECH-015
33,118,inspection,none,741.37,1.6,True,TECH-005
33,179,part_replacement,bearing_fault,17002.21,19.9,False,TECH-005
33,200,full_overhaul,overheating,25108.52,21.0,False,TECH-003
34,109,lubrication,none,519.19,1.2,True,TECH-012
34,193,inspection,none,1402.55,2.6,True,TECH-013
34,195,full_overhaul,bearing_fault,34493.89,26.6,False,TECH-011
35,118,calibration,none,1536.05,1.1,True,TECH-008
35,173,full_overhaul,bearing_fault,9114.02,15.3,False,TECH-004
35,181,full_overhaul,bearing_fault,21100.81,24.6,False,TECH-013
36,18,lubrication,none,330.26,1.5,True,TECH-007
36,158,full_overhaul,overheating,9729.11,15.7,False,TECH-001
37,1,inspection,none,1362.76,1.0,True,TECH-002
37,83,lubrication,none,515.66,1.7,True,TECH-008
37,170,full_overhaul,blade_erosion,48788.81,28.5,False,TECH-010
38,10,calibration,none,2009.65,1.5,True,TECH-010
38,93,calibration,none,1188.03,2.0,True,TECH-004
38,194,full_overhaul,vibration_imbal,32976.2,20.6,False,TECH-014
39,24,part_replacement,bearing_fault,12107.86,17.1,False,TECH-001
39,75,lubrication,none,726.68,1.4,True,TECH-001
39,128,full_overhaul,overheating,13796.03,17.6,False,TECH-015
40,78,calibration,none,850.72,2.0,True,TECH-002
40,153,lubrication,none,600.37,0.8,True,TECH-012
40,172,calibration,none,2473.9,2.1,True,TECH-010
40,188,full_overhaul,sensor_drift,3212.02,8.6,False,TECH-014
41,156,inspection,none,817.15,2.8,True,TECH-012
41,216,full_overhaul,vibration_imbal,34220.54,28.7,False,TECH-003
42,115,part_replacement,vibration_imbal,20724.01,14.7,False,TECH-015
42,136,part_replacement,blade_erosion,15140.27,12.4,False,TECH-009
42,196,full_overhaul,overheating,7887.43,15.2,False,TECH-011
43,123,lubrication,none,718.12,0.5,True,TECH-010
43,207,full_overhaul,bearing_fault,14113.86,29.3,False,TECH-014
44,3,lubrication,none,503.98,0.6,True,TECH-008
44,109,calibration,none,1512.76,2.5,True,TECH-015
44,117,lubrication,none,638.81,1.6,True,TECH-006
44,192,full_overhaul,blade_erosion,24998.75,28.1,False,TECH-010
45,115,calibration,none,1768.89,1.3,True,TECH-012
45,116,lubrication,none,489.53,1.3,True,TECH-002
45,151,part_replacement,bearing_fault,23513.91,11.4,False,TECH-006
45,158,full_overhaul,overheating,18111.0,14.8,False,TECH-005
46,34,lubrication,none,642.28,1.0,True,TECH-001
46,63,calibration,none,2080.96,3.6,True,TECH-006
46,82,lubrication,none,590.49,1.1,True,TECH-001
46,239,lubrication,none,398.37,1.1,True,TECH-006
46,250,calibration,none,2022.83,3.7,True,TECH-010
46,256,full_overhaul,vibration_imbal,23352.51,23.1,False,TECH-010
47,24,inspection,none,1264.8,2.8,True,TECH-005
47,56,part_replacement,blade_erosion,37838.17,23.9,False,TECH-005
47,193,lubrication,none,776.5,0.6,True,TECH-015
47,214,full_overhaul,blade_erosion,51684.88,43.0,False,TECH-006
48,37,lubrication,none,667.56,0.9,True,TECH-009
48,86,inspection,none,1272.35,1.4,True,TECH-012
48,195,lubrication,none,382.66,0.9,True,TECH-009
48,231,full_overhaul,sensor_drift,5421.1,3.9,False,TECH-011
49,53,inspection,none,1374.58,1.7,True,TECH-013
49,57,lubrication,none,506.78,1.2,True,TECH-003
49,114,inspection,none,661.25,2.9,True,TECH-004
49,215,full_overhaul,blade_erosion,34470.19,50.1,False,TECH-007
50,10,inspection,none,1122.71,2.5,True,TECH-012
50,24,inspection,none,1108.13,1.9,True,TECH-005
50,26,inspection,none,982.03,2.9,True,TECH-015
50,33,calibration,none,1230.41,1.1,True,TECH-004
50,79,lubrication,none,794.3,1.7,True,TECH-003
50,147,calibration,none,2365.13,2.0,True,TECH-003
50,198,full_overhaul,overheating,18607.44,14.1,False,TECH-003
51,38,lubrication,none,723.0,0.6,True,TECH-015
51,84,lubrication,none,459.58,1.6,True,TECH-011
51,140,lubrication,none,536.39,1.9,True,TECH-008
51,190,lubrication,none,795.9,1.3,True,TECH-012
51,211,part_replacement,bearing_fault,10193.51,10.4,False,TECH-012
51,213,full_overhaul,blade_erosion,53776.72,50.1,False,TECH-001
52,28,calibration,none,1035.71,1.9,True,TECH-005
52,42,inspection,none,1360.63,1.5,True,TECH-014
52,73,lubrication,none,520.03,0.7,True,TECH-013
52,142,inspection,none,1162.91,1.0,True,TECH-014
52,153,lubrication,none,753.54,1.1,True,TECH-003
52,213,full_overhaul,blade_erosion,30762.31,24.5,False,TECH-004
53,50,calibration,none,1344.83,3.9,True,TECH-008
53,123,calibration,none,2351.54,3.8,True,TECH-004
53,133,part_replacement,blade_erosion,36357.96,22.7,False,TECH-006
53,164,inspection,none,1264.67,2.5,True,TECH-012
53,182,inspection,none,1044.55,2.0,True,TECH-005
53,195,full_overhaul,sensor_drift,10140.5,10.4,False,TECH-003
54,30,calibration,none,2497.64,1.6,True,TECH-015
54,36,inspection,none,770.63,2.8,True,TECH-004
54,43,part_replacement,bearing_fault,22265.96,10.2,False,TECH-011
54,109,inspection,none,1432.9,3.0,True,TECH-010
54,151,inspection,none,1316.06,2.7,True,TECH-004
54,257,full_overhaul,vibration_imbal,17869.04,23.7,False,TECH-010
55,82,lubrication,none,550.38,1.5,True,TECH-012
55,191,lubrication,none,558.23,0.6,True,TECH-011
55,193,full_overhaul,bearing_fault,24511.98,27.9,False,TECH-011
56,19,inspection,none,936.32,2.5,True,TECH-001
56,115,calibration,none,2073.0,3.4,True,TECH-003
56,185,calibration,none,2138.69,3.5,True,TECH-014
56,245,full_overhaul,vibration_imbal,13070.51,13.5,False,TECH-008
56,275,full_overhaul,vibration_imbal,18312.77,27.7,False,TECH-013
57,137,full_overhaul,sensor_drift,3043.51,5.0,False,TECH-014
58,58,lubrication,none,676.16,1.3,True,TECH-004
58,110,inspection,none,719.19,1.4,True,TECH-006
58,126,lubrication,none,709.6,0.6,True,TECH-009
58,147,full_overhaul,overheating,14739.15,7.1,False,TECH-011
59,32,inspection,none,892.92,2.8,True,TECH-007
59,41,inspection,none,898.51,3.0,True,TECH-013
59,231,full_overhaul,bearing_fault,23373.54,34.7,False,TECH-012
60,84,inspection,none,1257.91,2.7,True,TECH-007
60,113,inspection,none,1066.42,2.1,True,TECH-012
60,142,lubrication,none,324.73,1.4,True,TECH-001
60,172,full_overhaul,blade_erosion,70374.08,32.7,False,TECH-009
61,40,calibration,none,1092.33,3.7,True,TECH-010
61,58,lubrication,none,333.04,0.5,True,TECH-011
61,87,calibration,none,901.13,1.6,True,TECH-015
61,185,full_overhaul,bearing_fault,21131.32,20.1,False,TECH-006
62,18,inspection,none,676.14,1.3,True,TECH-007
62,48,lubrication,none,744.18,1.9,True,TECH-004
62,154,lubrication,none,327.64,1.0,True,TECH-006
62,180,full_overhaul,vibration_imbal,42597.46,9.5,False,TECH-014
63,20,lubrication,none,726.19,1.6,True,TECH-002
63,174,full_overhaul,overheating,18406.71,11.3,False,TECH-002
64,102,lubrication,none,515.76,1.4,True,TECH-006
64,141,inspection,none,880.73,1.8,True,TECH-015
64,165,full_overhaul,bearing_fault,9755.82,21.9,False,TECH-001
64,264,calibration,none,1359.75,2.4,True,TECH-015
64,268,calibration,none,1089.58,3.9,True,TECH-013
64,283,full_overhaul,bearing_fault,17729.2,24.6,False,TECH-009
65,58,part_replacement,bearing_fault,14614.64,11.4,False,TECH-009
65,86,lubrication,none,713.39,1.9,True,TECH-004
65,91,calibration,none,2407.38,2.2,True,TECH-001
65,141,calibration,none,865.52,3.0,True,TECH-001
65,153,full_overhaul,overheating,14258.73,13.7,False,TECH-001
66,150,inspection,none,965.76,1.0,True,TECH-008
66,202,full_overhaul,blade_erosion,33596.38,49.8,False,TECH-013
67,89,calibration,none,2286.37,1.1,True,TECH-015
67,116,lubrication,none,359.2,1.7,True,TECH-004
67,145,lubrication,none,381.7,1.5,True,TECH-002
67,151,calibration,none,2469.65,2.8,True,TECH-014
67,242,inspection,none,1465.42,2.9,True,TECH-009
67,267,part_replacement,overheating,10616.96,5.2,False,TECH-006
67,313,full_overhaul,vibration_imbal,29263.52,18.1,False,TECH-011
68,92,lubrication,none,407.16,0.7,True,TECH-009
68,199,full_overhaul,bearing_fault,25893.43,26.2,False,TECH-004
69,13,lubrication,none,796.77,1.9,True,TECH-010
69,236,inspection,none,1134.23,1.9,True,TECH-003
69,255,inspection,none,1402.99,1.1,True,TECH-005
69,303,part_replacement,bearing_fault,10647.88,16.6,False,TECH-015
69,331,calibration,none,1556.53,1.2,True,TECH-006
69,350,calibration,none,1286.28,3.9,True,TECH-003
69,362,full_overhaul,bearing_fault,18964.16,12.3,False,TECH-007
70,66,calibration,none,1414.72,2.2,True,TECH-006
70,75,calibration,none,2452.07,3.1,True,TECH-014
70,133,lubrication,none,363.47,1.7,True,TECH-015
70,137,full_overhaul,bearing_fault,26809.35,34.9,False,TECH-009
71,162,inspection,none,1112.22,1.1,True,TECH-014
71,208,full_overhaul,bearing_fault,19555.94,15.8,False,TECH-003
72,33,inspection,none,1068.57,2.8,True,TECH-003
72,110,calibration,none,1201.81,1.1,True,TECH-015
72,114,calibration,none,2160.99,2.9,True,TECH-004
72,213,full_overhaul,overheating,7629.36,23.7,False,TECH-008
73,23,lubrication,none,554.1,1.2,True,TECH-008
73,39,inspection,none,1172.85,1.9,True,TECH-010
73,49,calibration,none,2392.34,1.6,True,TECH-003
73,93,calibration,none,2110.31,2.6,True,TECH-006
73,213,full_overhaul,blade_erosion,70849.47,40.6,False,TECH-013
74,78,inspection,none,560.33,2.6,True,TECH-008
74,98,calibration,none,886.42,3.9,True,TECH-010
74,105,lubrication,none,635.93,1.9,True,TECH-010
74,107,calibration,none,1884.49,3.6,True,TECH-007
74,166,full_overhaul,sensor_drift,5504.76,12.0,False,TECH-013
75,26,inspection,none,654.42,1.4,True,TECH-006
75,30,inspection,none,1205.03,1.1,True,TECH-007
75,82,inspection,none,647.43,1.5,True,TECH-004
75,121,inspection,none,1260.55,2.4,True,TECH-013
75,170,part_replacement,bearing_fault,20703.59,22.3,False,TECH-011
75,179,lubrication,none,707.54,1.2,True,TECH-007
75,229,full_overhaul,blade_erosion,71604.51,31.3,False,TECH-003
76,58,inspection,none,938.82,1.6,True,TECH-013
76,98,calibration,none,1209.58,3.3,True,TECH-003
76,210,full_overhaul,bearing_fault,13516.92,15.6,False,TECH-015
77,49,calibration,none,1830.71,3.8,True,TECH-005
77,71,part_replacement,bearing_fault,16403.35,14.5,False,TECH-012
77,87,lubrication,none,354.33,0.8,True,TECH-013
77,122,calibration,none,2283.95,3.7,True,TECH-015
77,153,lubrication,none,744.89,1.9,True,TECH-008
77,154,full_overhaul,blade_erosion,50978.68,47.3,False,TECH-006
78,41,inspection,none,764.71,2.8,True,TECH-012
78,45,part_replacement,sensor_drift,7004.73,6.1,False,TECH-011
78,156,inspection,none,735.26,1.6,True,TECH-006
78,231,full_overhaul,bearing_fault,33448.46,25.9,False,TECH-008
79,43,part_replacement,overheating,5579.66,6.5,False,TECH-013
79,51,calibration,none,2112.14,2.1,True,TECH-012
79,199,full_overhaul,overheating,27822.06,7.7,False,TECH-012
80,73,inspection,none,688.84,1.4,True,TECH-006
80,76,calibration,none,1891.83,3.1,True,TECH-013
80,185,full_overhaul,overheating,27953.16,18.9,False,TECH-003
81,61,inspection,none,902.05,1.4,True,TECH-015
81,112,inspection,none,963.83,1.6,True,TECH-003
81,187,inspection,none,1228.37,1.9,True,TECH-001
81,188,part_replacement,vibration_imbal,26967.62,9.2,False,TECH-008
81,191,lubrication,none,433.02,0.9,True,TECH-013
81,203,inspection,none,661.94,2.3,True,TECH-001
81,208,inspection,none,1118.92,2.5,True,TECH-010
81,240,full_overhaul,overheating,25497.32,10.9,False,TECH-002
82,51,calibration,none,1658.97,2.7,True,TECH-013
82,112,calibration,none,2151.89,3.9,True,TECH-001
82,168,lubrication,none,423.36,1.6,True,TECH-005
82,196,calibration,none,1398.49,2.9,True,TECH-010
82,211,part_replacement,blade_erosion,24941.8,30.9,False,TECH-008
82,214,full_overhaul,overheating,26409.27,15.4,False,TECH-014
83,15,lubrication,none,733.3,1.6,True,TECH-004
83,27,inspection,none,571.3,3.0,True,TECH-002
83,65,inspection,none,995.61,1.1,True,TECH-009
83,102,calibration,none,1473.94,3.8,True,TECH-001
83,140,lubrication,none,620.22,0.8,True,TECH-001
83,238,calibration,none,1783.64,1.4,True,TECH-004
83,259,part_replacement,blade_erosion,23599.49,17.5,False,TECH-007
83,264,calibration,none,1364.68,1.5,True,TECH-005
83,280,inspection,none,1135.56,2.5,True,TECH-014
83,293,full_overhaul,blade_erosion,53370.21,32.5,False,TECH-003
84,36,lubrication,none,637.38,1.5,True,TECH-010
84,58,inspection,none,1409.8,1.6,True,TECH-015
84,70,calibration,none,1218.8,3.5,True,TECH-011
84,78,lubrication,none,610.93,1.4,True,TECH-003
84,119,inspection,none,586.71,1.4,True,TECH-005
84,120,inspection,none,967.65,1.3,True,TECH-007
84,183,inspection,none,577.74,2.5,True,TECH-004
84,198,lubrication,none,714.87,1.3,True,TECH-001
84,267,full_overhaul,overheating,17249.99,21.8,False,TECH-010
85,34,lubrication,none,347.59,0.5,True,TECH-010
85,113,calibration,none,922.15,2.5,True,TECH-011
85,144,lubrication,none,316.07,1.4,True,TECH-015
85,173,lubrication,none,534.16,1.9,True,TECH-008
85,176,part_replacement,overheating,14623.42,8.9,False,TECH-003
85,188,full_overhaul,vibration_imbal,30782.3,13.1,False,TECH-012
86,6,inspection,none,1155.87,1.6,True,TECH-003
86,70,lubrication,none,796.76,2.0,True,TECH-009
86,146,calibration,none,2385.99,1.6,True,TECH-013
86,147,inspection,none,939.81,3.0,True,TECH-005
86,152,inspection,none,1136.67,1.8,True,TECH-008
86,208,lubrication,none,363.61,0.8,True,TECH-005
86,236,inspection,none,1259.34,2.1,True,TECH-004
86,273,lubrication,none,434.57,1.0,True,TECH-012
86,278,full_overhaul,overheating,9050.73,15.3,False,TECH-006
87,103,full_overhaul,vibration_imbal,22131.33,12.2,False,TECH-011
87,178,full_overhaul,blade_erosion,58510.91,33.1,False,TECH-001
88,38,lubrication,none,574.75,0.7,True,TECH-014
88,64,lubrication,none,479.83,0.8,True,TECH-012
88,140,inspection,none,1099.43,2.9,True,TECH-014
88,213,full_overhaul,blade_erosion,28946.68,28.9,False,TECH-006
89,95,inspection,none,1110.4,2.6,True,TECH-008
89,154,part_replacement,blade_erosion,23594.81,13.0,False,TECH-013
89,217,full_overhaul,vibration_imbal,41939.4,29.0,False,TECH-007
90,3,lubrication,none,306.03,1.6,True,TECH-015
90,28,lubrication,none,400.67,1.9,True,TECH-014
90,154,full_overhaul,bearing_fault,19553.38,23.1,False,TECH-003
91,21,calibration,none,2040.63,3.5,True,TECH-002
91,50,lubrication,none,531.96,1.9,True,TECH-004
91,64,lubrication,none,784.73,1.6,True,TECH-005
91,114,calibration,none,1509.33,2.7,True,TECH-010
91,135,full_overhaul,overheating,25185.37,14.9,False,TECH-010
92,40,lubrication,none,544.63,0.7,True,TECH-005
92,116,part_replacement,blade_erosion,24979.28,20.0,False,TECH-001
92,129,calibration,none,1808.98,1.1,True,TECH-010
92,177,calibration,none,1558.86,3.9,True,TECH-004
92,178,lubrication,none,607.19,1.1,True,TECH-001
92,222,full_overhaul,bearing_fault,15761.3,14.3,False,TECH-012
92,234,full_overhaul,bearing_fault,15498.32,14.6,False,TECH-003
92,236,lubrication,none,344.2,1.5,True,TECH-003
92,341,full_overhaul,overheating,29112.84,10.3,False,TECH-008
93,44,calibration,none,1875.0,3.8,True,TECH-015
93,121,lubrication,none,311.13,1.4,True,TECH-004
93,155,full_overhaul,overheating,10652.02,22.7,False,TECH-013
94,14,inspection,none,765.81,2.0,True,TECH-001
94,84,calibration,none,2462.68,2.4,True,TECH-001
94,87,calibration,none,827.59,2.4,True,TECH-002
94,258,full_overhaul,vibration_imbal,38385.14,11.7,False,TECH-004
95,46,calibration,none,1102.45,2.8,True,TECH-008
95,68,lubrication,none,703.47,1.9,True,TECH-002
95,85,full_overhaul,blade_erosion,38801.22,16.4,False,TECH-003
95,132,inspection,none,1071.95,1.4,True,TECH-013
95,172,lubrication,none,796.4,1.0,True,TECH-011
95,191,lubrication,none,474.43,1.6,True,TECH-006
95,242,inspection,none,1030.72,3.0,True,TECH-004
95,254,calibration,none,1640.82,1.4,True,TECH-001
95,283,full_overhaul,overheating,9913.58,8.0,False,TECH-003
96,31,part_replacement,bearing_fault,24843.77,22.9,False,TECH-001
96,37,lubrication,none,316.4,0.9,True,TECH-005
96,65,lubrication,none,469.5,1.0,True,TECH-006
96,336,full_overhaul,blade_erosion,22782.34,44.0,False,TECH-012
97,7,calibration,none,1824.1,3.6,True,TECH-012
97,20,calibration,none,872.18,2.3,True,TECH-007
97,52,inspection,none,851.93,2.1,True,TECH-003
97,54,calibration,none,2295.0,1.8,True,TECH-007
97,84,calibration,none,2448.61,3.4,True,TECH-004
97,165,inspection,none,1429.6,1.2,True,TECH-004
97,180,calibration,none,1654.27,2.3,True,TECH-005
97,187,part_replacement,sensor_drift,2559.63,5.9,False,TECH-008
97,195,inspection,none,1026.46,1.3,True,TECH-003
97,202,full_overhaul,bearing_fault,25861.36,13.3,False,TECH-009
98,93,inspection,none,1012.24,1.5,True,TECH-002
98,103,part_replacement,sensor_drift,3115.85,3.9,False,TECH-002
98,156,full_overhaul,bearing_fault,24379.39,24.0,False,TECH-002
99,20,lubrication,none,527.68,1.8,True,TECH-004
99,170,part_replacement,bearing_fault,24107.38,13.0,False,TECH-008
99,185,full_overhaul,overheating,16215.56,16.6,False,TECH-006
100,64,calibration,none,1304.68,1.2,True,TECH-009
100,131,part_replacement,sensor_drift,7257.6,2.8,False,TECH-006
100,179,full_overhaul,overheating,5581.27,11.8,False,TECH-002
100,200,full_overhaul,bearing_fault,30231.66,25.9,False,TECH-010
101,30,inspection,none,888.15,1.7,True,TECH-010
101,80,inspection,none,1087.52,2.9,True,TECH-006
101,149,full_overhaul,overheating,25138.56,7.2,False,TECH-003
102,51,calibration,none,1147.41,1.3,True,TECH-011
102,150,inspection,none,1148.4,1.8,True,TECH-013
102,165,lubrication,none,734.53,0.6,True,TECH-013
102,202,inspection,none,1369.36,2.3,True,TECH-011
102,265,inspection,none,1062.01,1.3,True,TECH-002
102,269,full_overhaul,overheating,25284.67,8.1,False,TECH-002
103,1,calibration,none,2086.06,2.4,True,TECH-015
103,38,inspection,none,674.54,2.5,True,TECH-005
103,64,calibration,none,2038.42,1.1,True,TECH-001
103,100,inspection,none,1021.71,1.9,True,TECH-005
103,102,calibration,none,913.86,2.2,True,TECH-001
103,123,lubrication,none,339.37,1.1,True,TECH-015
103,206,full_overhaul,blade_erosion,61236.59,50.4,False,TECH-014
104,17,lubrication,none,334.57,1.6,True,TECH-015
104,47,lubrication,none,590.22,1.1,True,TECH-008
104,194,part_replacement,blade_erosion,45388.28,20.9,False,TECH-009
104,235,full_overhaul,sensor_drift,8255.33,9.3,False,TECH-012
105,132,inspection,none,588.93,1.0,True,TECH-014
105,154,full_overhaul,bearing_fault,33694.62,21.6,False,TECH-004
106,46,inspection,none,1021.44,1.9,True,TECH-006
106,139,inspection,none,1000.66,3.0,True,TECH-007
106,145,part_replacement,blade_erosion,38282.49,28.4,False,TECH-003
106,175,full_overhaul,vibration_imbal,16517.9,13.6,False,TECH-006
107,64,calibration,none,1823.6,1.4,True,TECH-014
107,121,inspection,none,650.6,1.0,True,TECH-004
107,174,full_overhaul,blade_erosion,26727.85,30.4,False,TECH-003
108,151,full_overhaul,sensor_drift,10147.95,9.8,False,TECH-005
